COU,Country,MEAS,Measure,SMALL_SUBNATIONAL_REGION,Small subnational region,VAR,Variable,YEA,Year,Unit Code,Unit,Value
HTI,Haiti,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,32.31203781
HND,Honduras,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,KM2,Square kilometres,76.8285
HKG,"Hong Kong, China",SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,27.297
HKG,"Hong Kong, China",PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,PC,Percentage,6.875935009
HKG,"Hong Kong, China",PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,21.4715023
IND,India,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,51.92417022
IDN,Indonesia,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,KM2,Square kilometres,2158.7517
IDN,Indonesia,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,1872.1395
IDN,Indonesia,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,PC,Percentage,38.39560385
IDN,Indonesia,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,PC,Percentage,63.69176646
IRN,Iran,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,KM2,Square kilometres,962.1837
IRQ,Iraq,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,530.7201
IRQ,Iraq,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,PC,Percentage,37.19610412
IRQ,Iraq,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,83.3446167
JAM,Jamaica,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,16.0434
JOR,Jordan,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,KM2,Square kilometres,125.1441
JOR,Jordan,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,PC,Percentage,22.22735527
KAZ,Kazakhstan,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,804.951
